segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-abine	-abine	dérivés de l’arabinofuranosyl	antiviraux, antinéoplasiques		
-ac	-ac	dérivés de l’ibufenac	antalgiques, antipyreptiques, anti-inflammatoires	Diclofénac (Difal – Voltarène – Xénid)	Anti-inflammatoires non stéroïdiens dérivés de l'ibufénac, dérivés arylcarboxyliques
-ac	-ac	dérivés de l’ibufenac	antalgiques, antipyreptiques, anti-inflammatoires	Bufexamac (Parfenac)	Anti-inflammatoires non stéroïdiens dérivés de l'ibufénac, dérivés de l'acide arylacétique
-actide	-actide	polypeptides synthétiques agissant comme la corticotropine		Tétracosactide (Synacthène Retard – Cortrosyn Retard)	Polypeptides synthétiques agissant comme la corticotropine (stimulent la sécrétion des hormones cortico-surrénaliennes)
-adol/-adol-	-adol/-adol-	certains morphiniques	antalgiques	Tramadol (Tremadol)	Analgésiques divers
-adom	-adom	dérivés du tifluadom	analgésiques		
-afenone	-afénone	dérivés du propafénone	antiarythmiques		
-afil	-afil	inhibiteurs de la phosphodiestérase-5	vasodilatateurs, troubles de l’érection, hypertension artérielle pulmonaire		
-aj-	-aj-	dérivés de l’ajmaline	antiarythmiques		
-al	-al	aldéhydes			
-aldrate	-aldrate	sels d’aluminium	antiacides		
-ampanel	-ampanel	antagonistes des récepteurs glutamate ionotropique non N-methyl-D-aspartate			
andr-/-andr-	andr-/-andr-	stéroïdes androgènes		Nandrolone (Déca-Durabolin – Dynabolan – Kératyl), Androstanolone (Andractim)	Stéroïdes androgènes
-anib	-anib	inhibiteurs de l’angiogenèse	anticancéreux		
-anide	-anide	-			
-anserin	-ansérine	antagonistes des récepteurs de la sérotonine 5-HT2			
-antel	-antel	anthelmintiques non-définis	anthelmintiques	Pyrantel (Combantrin – Helmintox)	Anthelminthiques sans structure chimique précise
-antrone	-antrone	dérivés de l’anthraquinone	anticancéreux, leucémie, SEP, antinéoplasiques		
-(a)pine	-(a)pine	composés tricycliques		Clozapine (Leponex)	Composés tricycliques à activité psychotique
-(ar)abine	-(ar)abine	dérivés de l'arabinofuranose	antiviraux, antinéoplasiques	Cytarabine (Aracytine)	Antinéoplasiques antiviraux, dérivés de l'arabinofuranose
-arit	-arit	agissant comme le clobuzarit et le lobenzarit	antiarthritiques		
-arol	-arol	dérivés du dicoumarol	anticoagulants	Acénocoumarol (Sintrom)	Anticoagulants coumariniques
-arotene	-arotène	dérivés des aritonoïdes			
arte-	arte-	composés liés à l’artemisinine	antipaludiques		
-ase	-ase	enzymes			
-ast	-ast	n’agissant pas primairement comme antihistaminiques	antiasthmatiques, antiallergiques		
-astine	-astine	certains antihistaminiques H1	antiallergiques	Azélastine (Allergodil), Lévocabastine (Lévophta), Mizolastine (Milastine - Mizollen)	Antihistaminiques H1 non classés ailleurs
-azenil	-azénil	antagonistes des benzodiazépines		Flumazénil (Anexate)	Substances agonistes/antagonistes des récepteurs aux benzodiazépines, à dominante antagoniste
